133,烧麦,Steamed Pork Dumplings
134,家常早餐鸡蛋饼,Egg omelet
135,土豆鸡蛋饼,Potato omelet
136,鸡蛋灌饼,Egg pie cake
137,卤蛋,Marinated Egg
138,荷包蛋,Poached Egg
139,葱花手抓饼,Pine cake with Diced Scallion
140,芝麻烧饼,Sesame seed cake
141,肉夹馍,Chinese hamburger
142,韭菜盒子,Leek box
143,南瓜紫薯馒头,Steamed bun with purple potato and pumpkin
144,馒头,Steamed bun
145,包子,Steamed stuffed bun
146,南瓜饼,Pumpkin pie
147,披萨,Pizza
148,油条,Deep-Fried Dough Sticks
149,炸酱面,Sauteed noodles with minced meat
150,重庆酸辣粉,Chongqing Hot and Sour Rice Noodles
151,凉拌凉面,Cold noodles
152,西红柿鸡蛋面,Noodles with egg and tomato
153,肉酱意大利面,Spaghetti with meat sauce
154,茄汁拌面,Noodles with tomato sauce
155,凉皮,Cold Rice Noodles
156,担担面,Sichuan noodles with peppery sauce
157,臊子面,Qishan noodles
158,炒面,Fried noodles
159,饺子,Dumplings
160,玉米棒,Corn Cob
161,红烧牛肉面,Braised beef noodle
162,河粉,fried rice noodles
163,肠粉,Steamed vermicelli roll
164,鲜肉小馄饨,Pork wonton
165,煎饺,Fried Dumplings
166,汤圆,Tang-yuan
167,小米粥,Millet congee
168,红薯粥,Sweet potato porridge
169,海蛰,Jellyfish
170,皮蛋瘦肉粥,Minced Pork Congee with Preserved Egg
171,大米粥,Rice porridge
172,米饭,Rice
173,紫菜包饭,Laver rice
174,石锅饭,Stone pot of rice
175,乌鸡汤,Black bone chicken soup
176,鲫鱼豆腐汤,Crucian and Bean Curd Soup
177,疙瘩汤,Dough Drop and Assorted Vegetable Soup
178,酸辣汤,Hot and Sour Soup
179,萝卜排骨汤,Pork ribs soup with radish
180,西红柿鸡蛋汤,Tomato and Egg Soup
181,西湖牛肉羹,West Lake beef soup
182,莲藕排骨汤,Lotus Root and Rib soup
183,紫菜蛋花汤,Seaweed and Egg Soup
184,海带豆腐汤,Seaweed tofu soup
185,玉米排骨汤,Corn and sparerib soup
186,菠菜猪肝汤,Spinach and pork liver soup
187,罗宋汤,Borsch
188,银耳汤,White fungus soup
189,冬瓜汤,White gourd soup
190,酱汤,Miso soup
191,毛血旺,Duck Blood in Chili Sauce
192,夫妻肺片,Pork Lungs in Chili Sauce
193,麻辣香锅,Spicy pot
194,黄金如意肉卷,Golden meat rolls
195,蛋糕,Chiffon Cake
196,蛋挞,Egg Tart
197,面包,Bread
198,牛角包,Croissant
199,吐司,Toast
200,饼干,Biscuits
201,曲奇饼干,Cookies
202,苏打饼干,Soda biscuit
203,双皮奶,Double skin milk
204,冰激凌,Ice cream
205,鸡蛋布丁,Egg pudding
206,冰糖雪梨,Sweet stewed snow pear
207,水果沙拉,Fruit salad
